Comment,Designator,Footprint,LCSC
boot,"SW4,SWR1",SW_SPST_TL3342,C115351
1k,R7,R_0402_1005Metric,C11702
100nF,"C10,C11,C12,C13,C14,C15,C18,C5,C6,C9",C_0402_1005Metric,C1525
10uF,C7,C_0402_1005Metric,C15525
22pF,"C2,C3",C_0402_1005Metric,C1555
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
RP2040,U3,RP2040-QFN-56,C2040
27R,"R5,R6",R_0603_1608Metric,C25190
1k,R9,R_0402_1005Metric,C25543
5.1k,"R1,R3,R4",R_0402_1005Metric,C25905
USBLC6-2SC6,U2,SOT-23-6,C2827654
W25Q16JVUXIQ,IC1,SON50P300X200X60-9N,C2843335
MX_SW_HS,"MX1,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX2,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX3,MX30,MX31,MX32,MX33,MX34,MX35,MX36,MX4,MX5,MX6,MX7,MX8,MX9",SW_MX_HS_CPG151101S11_1.5u,C5156480
1uF,"C16,C17,C4,C8",C_0402_1005Metric,C52923
XC6206PxxxMR-Regulator_Linear,U4,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70076
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D4,D5,D6,D7,D8,D9",D_SOD-123F,C81598
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
